ProvinceCode,Province,Coal and Coke,Bioenergy,Coal with CCUS,Solar (Distributed),Solar (Utility scale),Natural Gas,Onshore Wind,Hydro,Uranium,Oil
NL,Newfoundland and Labrador,0,0,0,1.15,0.02,80.4,194.5,44395.99,0,168.53
PE,Prince Edward Island,0,6.45,0,0.68,0,0,1002.56,0,0,25.06
NS,Nova Scotia,4206.93,298,0,1.33,0.54,1144.09,2150.81,968.14,0,0
NB,New Brunswick,1522.87,456.07,0,1.4,0.26,2065.65,1100.05,2648.49,5018.78,42.42
QC,Quebec,0,1562.41,0,29.14,0.4,262.62,14322.93,195672.35,0,593.94
ON,Ontario,0,1477.56,0,3404.16,4676.74,11315.61,18055.59,36227.64,77282.95,85.07
MB,Manitoba,0,78.65,0,7.46,9.89,176.54,537.64,29781.39,0,16.34
AB,Alberta,7120.87,1804.18,0,249.35,2086.48,60416.07,13371.7,1651.07,0,15.66
BC,British Columbia,0,4329.76,0,24.65,20.19,1804.5,2008.28,59620.53,0,97.64
SK,Saskatchewan,6005.01,274.86,713.55,31.08,117.95,11831.98,1639.75,3976.59,0,1.02
YT,Yukon,0,3.4,0,0.48,0.06,135.58,1.08,434.66,0,98.66
NT,Northwest Territories,0,0,0,0.34,2.71,25.23,24.02,250.11,0,35.48
NU,Nunavut,0,0,0,0.54,0.03,0,0,0,0,281.74